"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"144","2016-07-25","2016-07-25_21:24:51.668",140.355417657357,162.855424997605,150.039129885631,175.671720109579
"145","2016-07-25","2016-07-25_21:24:52.318",156.098855985083,163.352389220899,150.55054154389,176.154236897909
"146","2016-07-25","2016-07-25_21:24:52.963",137.731563109097,163.91609676434,151.132094206641,176.700099322039
"147","2016-07-25","2016-07-25_21:24:53.644",137.731563109097,164.590586814326,151.830160963929,177.351012664723
"148","2016-07-25","2016-07-25_21:24:54.375",140.355417657357,165.408871595123,152.68020031065,178.137542879596
"149","2016-07-25","2016-07-25_21:24:55.094",140.355417657357,166.312718783282,153.622753855342,179.002683711222
"150","2016-07-25","2016-07-25_21:24:55.753",157.410833247451,167.230622736364,154.583342941833,179.877902530895
"151","2016-07-25","2016-07-25_21:24:56.441",139.043488531853,168.251136412079,155.657045384906,180.845227439253
"152","2016-07-25","2016-07-25_21:24:57.125",139.043488531853,169.297501338546,156.764131449836,181.830871227257
"153","2016-07-25","2016-07-25_21:24:57.786",156.098855985083,170.337548853871,157.867804564388,182.807293143353
"154","2016-07-25","2016-07-25_21:24:58.440",156.098855985083,171.393323866773,158.988959384347,183.7976883492
"155","2016-07-25","2016-07-25_21:24:59.801",157.647711663599,173.670657441635,161.400427822403,185.940887060867
"156","2016-07-25","2016-07-25_21:25:00.532",156.311493487738,174.935670129942,162.731322579675,187.14001768021
"157","2016-07-25","2016-07-25_21:25:01.259",154.614683500666,176.220708786845,164.07445755588,188.36696001781
"158","2016-07-25","2016-07-25_21:25:01.940",171.797279503348,177.447404078851,165.347109732519,189.547698425184
"159","2016-07-25","2016-07-25_21:25:02.608",190.302326430489,178.670978345675,166.606582041329,190.73537465002
"160","2016-07-25","2016-07-25_21:25:03.279",150.377723991867,179.919034924423,167.880735948379,191.957333900467
"161","2016-07-25","2016-07-25_21:25:03.967",166.947858147699,181.217166151052,169.194834920847,193.239497381257
"162","2016-07-25","2016-07-25_21:25:04.687",166.947858147699,182.594234877895,170.576928226127,194.611541529664
"163","2016-07-25","2016-07-25_21:25:05.428",201.364716055729,184.029686410149,172.00563176874,196.053741051559
"164","2016-07-25","2016-07-25_21:25:06.063",225.78543630669,185.273240515792,173.234629157206,197.311851874378
"165","2016-07-25","2016-07-25_21:25:06.720",181.657630258479,186.571751366313,174.510699134377,198.632803598248
"166","2016-07-25","2016-07-25_21:25:07.381",153.106624938266,187.889182458729,175.799401537502,199.978963379956
"167","2016-07-25","2016-07-25_21:25:08.063",153.106624938266,189.258787768458,177.134690371001,201.382885165916
"168","2016-07-25","2016-07-25_21:25:09.434",191.576454608452,192.038511812,179.839547126553,204.237476497447
"169","2016-07-25","2016-07-25_21:25:10.131",227.897761171334,193.462510462251,181.227186329021,205.697834595481
"170","2016-07-25","2016-07-25_21:25:10.826",250.443531860137,194.887845718016,182.62063953184,207.155051904192
"171","2016-07-25","2016-07-25_21:25:11.510",267.231226730619,196.294561572904,184.002520912915,208.586602232893
"172","2016-07-25","2016-07-25_21:25:13.368",147.203988581632,200.253848309348,187.899813846309,212.607882772387
"173","2016-07-25","2016-07-25_21:25:13.996",243.718089078955,201.64872904254,189.270509301002,214.026948784078
"174","2016-07-25","2016-07-25_21:25:15.299",157.76285975292,204.624461670895,192.189028090435,217.059895251356
"175","2016-07-25","2016-07-25_21:25:15.969",248.623307962867,206.193930634114,193.724859916671,218.663001351557
"176","2016-07-25","2016-07-25_21:25:16.631",141.027583680347,207.768540398023,195.263149976331,220.273930819716
"177","2016-07-25","2016-07-25_21:25:17.293",172.107920650772,209.365105477797,196.820195936574,221.91001501902
"178","2016-07-25","2016-07-25_21:25:17.971",193.626444103392,211.021161164906,198.432385364228,223.609936965584
"179","2016-07-25","2016-07-25_21:25:18.703",154.176672203881,212.83068116791,200.190682516068,225.470679819753
"180","2016-07-25","2016-07-25_21:25:19.404",188.844453339984,214.582394947111,201.889655793733,227.27513410049
"181","2016-07-25","2016-07-25_21:25:20.051",154.176672203881,216.213665354296,203.469179599936,228.958151108656
"182","2016-07-25","2016-07-25_21:25:20.739",126.683599882497,217.961666822444,205.15913158342,230.764202061468
"183","2016-07-25","2016-07-25_21:25:22.157",205.736769213583,221.599429351907,208.66871541982,234.530143283995
"184","2016-07-25","2016-07-25_21:25:22.822",241.219189840192,223.317775756139,210.323761249222,236.311790263056
"185","2016-07-25","2016-07-25_21:25:23.509",203.37138497693,225.09862299813,212.037696443012,238.159549553247
"186","2016-07-25","2016-07-25_21:25:24.180",241.219189840192,226.841660892883,213.714403592607,239.96891819316
